Customer_ID,Customer_Name,Birth_Date,Gender,Marital_Status
1,Simon,01-01-2000,Male,U
1,Simon,01-01-2000,Male,U
3,Mike,09-03-1985,Male,M
4,Jason,01-10-1976,Male,M
5,Andrew,04-11-1972,Male,U
6,Hosse,31-12-1990,Male,M
7,Jose,06-09-1960,Male,M
8,Jennifer,25-08-1985,Female,U
9,Ebony,14-06-1983,Female,M
10,Angela,23-10-2001,Female,M
11,Donald,13-05-1999,Male,M
12,Donald,13-05-1999,Male,M
13,Nathan,04-04-1995,Male,M
14,Tina,31-05-1992,Female,M
15,Julia,01-04-1980,Female,M
16,Megan,19-06-1998,Female,U
16,Megan,19-06-1998,Female,U
18,Victor,15-02-1970,Male,M
19,Mathew,01-03-1967,Male,M
